content,score,at
wow aplikasi yang sangat hebat membantu kita untuk hidup lebih sehat,5,2025-10-30 19:11:18
tlong lah kita order obt maunya cepat kasih pilihan driver yg cepat bukan yg lama ..masa hampir 2jam sama2 mahal kok ngsih waktu pengiramn instant lama,1,2025-10-30 14:51:21
suka sih konsul di halodoc. dokternya juga ramah ramah. sehat selalu semuanya,5,2025-10-30 13:31:12
Dokter nya sangat komunikatif,5,2025-10-30 13:27:28
dokternya ramah banget...semoga cocok ya,5,2025-10-30 11:20:25
sangat membantu,5,2025-10-30 09:01:42
Aplikasi yang sangat membantu seputar konsultasi kesehatan mulai dokter umum sampai dokter spesialis lengkap,5,2025-10-30 06:15:59
respon cepat dan tepat,5,2025-10-30 00:43:24
"Easy to Use, Useful dan Thank You...",5,2025-10-29 22:51:58
"pelayanan buruk, next time buatkan fitur pembatalan dan kasih range waktu sampai. karna kalian punya jasa penting buat keselamatan org. malah di entengin banget.. kecewa!!!. kalian jangan pada download daripada pelayanannya ga okeh!. saya user baru memang, tapi harusnya pelayanan kaya gini udah ga perlu embel2 nunggu2 atau apapun lah. ingat kalian terpacu dengan waktu loh, pasien butuh obat malah di buat molor. RATING BINTANG 1 DARI SAYA.",1,2025-10-29 12:55:36
bagus,5,2025-10-29 12:04:14
sangat bagus,5,2025-10-29 11:00:52
sangat membantu untuk konsultasi dokter setiap saat,5,2025-10-29 09:25:16
"Aplikasi yang sangat membantu, Terimakasih halodoc",5,2025-10-29 07:07:16
"obat yang diinginkan tersedia, jadi gak perlu repot2 ke apotek",4,2025-10-29 05:58:30
fleksibel dan memudahkan untuk berkonsultasi dengan dokter dari mana saja dan kapanpun,5,2025-10-29 05:55:14
cukup bagus lumayan membantu.,5,2025-10-29 04:39:32
ada masalah dengan pesanan obat tapi layanan chat buat komplain tidak tersedia terus. mau cek lokasi apotek yg kirim obat juga gabisa. gimana ini? ga transparan banget,1,2025-10-29 02:15:35
aplikasi musah digunakan banyak promo dan dokternya ramah2,5,2025-10-29 00:50:36
bagus,5,2025-10-29 00:02:53
Dokternya menjelaskan dengan baik,5,2025-10-28 14:19:57
mantap,5,2025-10-28 13:43:04
sangat membantu,5,2025-10-28 10:00:23
pelayanan prima,5,2025-10-28 08:25:45
sangat membantu untuk bisa berkomunikasi langsung dengan dokter yg Kita butuhkan.. tarifnya pun tidak terlalu mahal,5,2025-10-28 08:22:58
baik keren sangat membantu aplikasinya,5,2025-10-28 06:57:08
ok,5,2025-10-28 06:25:22
membantu sekali untuk para pekerja,5,2025-10-28 02:05:19
"Untuk sejauh ini, saya pribadi tidak memiliki kendala, dokter-dokter yang terdaftar juga ramah, dengan adanya e-health seperti ini mempermudah untuk mendapatkan pertolongan.",5,2025-10-27 23:13:27
"sukaa bangettt, respon jugaa cepett, jelass buatt yang gabisa cek langsung diklinik bisa sementara konsul disini bagus bgt kokk, responnya jugaa baikk, Semoga buat para acnefighter lekas sembuh Aamiin Yarobal Alamiin",5,2025-10-27 12:41:11
serius tanya doang bayar? mending gua tanya AI gratis,5,2025-10-27 10:33:37
"gak ramah dokter spkknya,gak dengerin apa yang saya keluhin terkait masalah kulit,saya minta resep tretinoin buat bekas jerawat,malah ngiranya saya jerawatan udah tau di foto gak ada jerawat dan hanya bekas jerawatnya saja,dokternya Dr.nyoman indra karunia",1,2025-10-27 09:43:50
"kurang puas ,pelayanan dokter nya jelek tidak reponsif sangat lama membalas keburu habis waktu ,buang² uang",1,2025-10-27 07:30:35
dokternya ramah,5,2025-10-27 04:55:40
"dokterx enak diajak konsul,semoga sy cocok",5,2025-10-27 04:50:35
Sangat berguna,5,2025-10-27 04:16:59
ada beberapa dokter yg sibuk untuk melakukan sesi konsultasi,4,2025-10-27 02:30:48
"Dokter ramah, sangat membantu, fast respon. Terima kasih halodoc.",5,2025-10-27 01:50:23
memuaskan,5,2025-10-26 16:30:09
"sangatt puasss, dokternya baim2",5,2025-10-26 14:46:02
"sering problemnya drpd membantu, Heidy selalu close chat sepihak kalau lg complain, bubar aja mending, atau ganti nama.. Haloblog, layanan ngawur parah",1,2025-10-26 14:40:09
ok,5,2025-10-26 13:28:52
layanan sangat baik respon cepat,5,2025-10-26 12:52:06
sangat membantuuu dokternya ramah sekalii dr iraaa armayanti lope,5,2025-10-26 12:10:18
terus berkarya demi umat manusia sehat.,5,2025-10-26 11:30:35
Detil dan cepat,5,2025-10-26 09:44:51
sangat membantu 👍,5,2025-10-26 03:23:51
sangat membantu,5,2025-10-26 01:52:21
cukup baik,5,2025-10-26 01:49:31
Alhamdulillah obatnya tiba dengan cepat. di daerah rumah saya susah sekali mencari obatnya di hallodoc semua bisa ditangani. terimakasih hallodoc❣️ sangat membantu dan memudahkan. karna obat untuk suami saya harus setiap jam dipake .pas abis saya bingung karna saya pke BPJS drs ga setiap berobat dksh obatnya.jadi harus beli diluar . saya cari di setiap apotik smpe K-24 jg ga ada. tp di hallodoc semua teratasi❣️❣️❣️,5,2025-10-26 01:26:15
sangat membantu,5,2025-10-26 01:14:41
"Cepat, tepat dan solusi yang memuaskan.",5,2025-10-25 14:55:14
dokter ramah dan penjelasanya sangat jelas. sangat membantu sekali untuk penanganan awal,5,2025-10-25 12:31:43
buruk.. pesanan gak diterima cuma bisa baik.. saya beli obat karena anak saya butuh malam2 demam .. disuruh nunggu 3 hari gk juga ada kejelasan kecewa saya halodoc padahal sering make ini kalau salah kirim proses lama obat gk sampe2 solusi gk ddpt,1,2025-10-25 12:18:12
Sangat membantu,5,2025-10-25 11:18:39
sangat membantu,5,2025-10-25 10:44:31
Sangat membantu konsultasi kesehatan dan membeli obat langsung tanpa harus keluar rumah,5,2025-10-25 05:54:33
"biasanya dpt dokter baik pejelasannya enak,tadi dpt dokter ortopendi masuk ruang chat ilang 15 mnt sekali ada slow respon dah kecewa semoga dokternya di perbaiki pelayanan nya.",1,2025-10-25 05:28:09
cukup membantu,5,2025-10-25 03:27:10
"Respon lambat, sudahh saya jelaskan diawal secara detail tetap aja ditanya terussss. Sampai2 waktu konsultasi habisss sia2",1,2025-10-25 00:41:08
sangat membantu,5,2025-10-25 00:05:19
sangat membantu,5,2025-10-24 14:28:09
baik,5,2025-10-24 13:47:10
good,4,2025-10-24 12:16:22
cukup membantu saat urgent,5,2025-10-24 10:18:55
Good,5,2025-10-24 09:03:44
aplikasi sangat membantu,5,2025-10-24 05:52:06
Sangat membantu sekali dan terima kasih kepada dokter yg lg bertugas. tetap semangat. Trims,5,2025-10-24 02:12:19
sangat bermanfaat,5,2025-10-24 02:02:56
sangat membantu di saat butuh obat dengan cepat terimakasih.,5,2025-10-24 01:20:23
terimakasih,5,2025-10-24 01:12:19
maaf dokter nya cuek saya udah bayar untuk konsultasi eh malah suruh periksa ke dokter trs gunanya saya konsultasi untuk apa?,1,2025-10-23 17:18:37
Kereenn,5,2025-10-23 16:43:11
sangat informatif dan membantu,5,2025-10-23 13:12:17
dokternya baik👍🏻,5,2025-10-23 12:24:14
sangat sangat membantu,5,2025-10-23 09:50:45
respon dokter nya cepat dan terpercaya,5,2025-10-23 08:15:53
mantep,5,2025-10-23 06:43:57
good,5,2025-10-23 06:12:07
Alhamdulillah sangat terbantu baik dengan dokter maupun pelayanan pengiriman obatnya,5,2025-10-23 06:09:36
prosesnya cepat dan tepat,5,2025-10-23 05:51:51
okeee bangett,5,2025-10-23 01:40:22
bagus,5,2025-10-23 01:39:39
"best banget di apk, dan dr yg fast respon",5,2025-10-23 00:06:00
untuk pengiriman obat gimana sih min di apk perkiraan jam 04.35 giliran nanya yg driver nya bilang nya ga diambil gimana si,3,2025-10-22 21:31:32
sangat membantu sekali,5,2025-10-22 16:17:33
"baik dokternya , penanganan nya jelas",5,2025-10-22 13:57:06
jadi mudah untuk.konsultasi dalam keadaan darurat,5,2025-10-22 13:29:46
halodoc is the best,5,2025-10-22 13:28:10
sangat baik,5,2025-10-22 12:11:38
Bagus sekali konsultasi disini jelas dan langsung dpt resep praktis sekali dan biaya sangat terjangkau,5,2025-10-22 11:16:25
sangat membantu,5,2025-10-22 11:16:20
Fast response..happy😇👌,5,2025-10-22 10:10:56
cara mudah ke dokter tanpa ribet alhamdulilah sekeluarga kalau sakit cukup buka app halodoc konsul dr rmh n sehat,5,2025-10-22 08:51:33
sangat membantu,5,2025-10-22 07:17:26
pernah pesen paket tp gabisa di batalin mau ubah alamatnya ngeselin banget,1,2025-10-22 07:02:39
sangat membantu,5,2025-10-22 05:44:56
sangat membantu,5,2025-10-22 04:07:25
saya lebih leluasa utk konsultasi krn dr anak nya juga informatif. terimakasii halodoc sudah menyediakan aplikasi utk konsultasi dg dokter secara daring,5,2025-10-22 03:59:26
pengalaman pertama,5,2025-10-22 00:21:22
good,5,2025-10-22 00:09:23
pelayanan cepat,5,2025-10-21 23:01:30
sangat membantu,5,2025-10-21 16:26:43
"coba dulu ,, wat daftarin KTP nya ssh amat ia,, coba lagi klu ok baru 5",4,2025-10-21 16:14:45
sangat membantu ketika lagi sakit dirumah dan tdk bisa ke praktek dokter,5,2025-10-21 15:00:16
mempermudah bangeeet,5,2025-10-21 13:57:52
sangat membantu untuk konsultasi dari rumah dan harga konsultasinya sangat terjangkau. banyak pilihan untuk dokternya,5,2025-10-21 13:09:34
sat set wat wet,5,2025-10-21 11:33:03
"Dokter aji mumpung, bisa-bisanya narif obat ga sesuai dengan harga apps. Ini malak namanya",1,2025-10-21 07:48:51
"anyingg lahh masa beli ngeluarin duit hampir 70 ribuu dikasih obatt yang SALAHHH, fakkk kasiann ibukuu yg lagi nunggu obatny",1,2025-10-21 07:16:30
Responnya cepat tanggap👍,5,2025-10-21 04:33:54
tepat waktu sesuai dengan pesanan,5,2025-10-21 03:53:11
ok,5,2025-10-21 02:59:16
sangat membantu,5,2025-10-20 17:44:43
"pernah konsul psikolog disini, waktu cuma 30 menit lumayan cepet bgt, harga dari 50k-200k its work it? no jawaban dari psikolog nya juga agak gimana gtu kurang banget kalau di samain sama psikolog yg langsung kontrol tatap muka lebih bagusan yg itu dari pada psikolog halodoc, ini tanggapan bagi saya ya soalnya sy baru ngalamin saya kira psikolog nya itu bakal ngasi saran yg lebih baik ternyata saran"" nya biasa aja harga 115k/30 menitan, ngetik panjang keburu habis waktunya 💔💔",1,2025-10-20 16:09:40
sangat membantu menemukan konsultasi dengan dokter-dokter yang berpengalaman,5,2025-10-20 13:26:55
sangat membantu,5,2025-10-20 09:43:14
terbaik.. beli obat cepat sampai,5,2025-10-20 09:41:41
"bagus, disaat cari obat di apotek dekat rumah tidak nemu, di halodoc bisa order dengan pengiriman setengah jam. dokter konsultasi juga sangat membantu. terima kasih..😁👍",5,2025-10-20 06:10:44
bagus,5,2025-10-20 05:46:31
"mantul,Dokter luar biasa konsultasi dan resepnya Manjur",5,2025-10-20 01:45:55
"Sangat membantu, tidak perlu repot2 datang ke klinik. karena halodoc memiliki dokter ahli dengan bidangnya. dan bisa bebas konsultasi dari mana saja. terimakasih para dokter dan halodoc.",5,2025-10-20 00:05:02
"pelayanannya baik, Dokternya respon enak",5,2025-10-19 23:58:51
"sangat mantap, puas, puas and very very puaaaaassss",5,2025-10-19 15:39:33
iya ini aplikasi yg sangat membantu sekali,4,2025-10-19 12:42:50
sangat informatif dan membantu,5,2025-10-19 10:31:00
sangat tepat..,5,2025-10-19 07:56:29
sangat membantu mslh kesehatan,5,2025-10-19 05:33:14
"betul² 24 jam, aku pesen obat jam 3 pagi. Aku berharap jam 6-8 baru difollow up, ternyata hanya tempo ½jam obat su datang. dokternya pun solutif banget",5,2025-10-19 00:57:44
respon cepat detail akurat bisa konsultasi dirumah,5,2025-10-18 23:28:47
sangatt baikkk bagus membantu bangt,5,2025-10-18 15:31:06
dokternya ramah dan respon cepat,5,2025-10-18 14:53:51
"agak kecewa dengan fitur pesanan barang di halodoc, tidak ada fitur pembatalan pesanan apabila barang sudah terlanjur dipesan tidak sesuai, padahal pesanan baru terkonfirmasi aja chat gk bisa",4,2025-10-18 12:38:55
"Sangat membantu, terutama saat weekend di mana dokter spesialis libur offline.",5,2025-10-18 11:07:33
Alhamdulillah membantu sekali di sini tidak perlu nunggu antrian ke puskesmas dan dokter. resep bisa dipakai berulang kali.,5,2025-10-18 10:48:14
good service,5,2025-10-18 09:43:26
bagus,5,2025-10-18 09:35:34
baguss,5,2025-10-18 08:26:25
Pengiriman Cepat sangat membantu ketika sakit memerlukan obat seger,5,2025-10-18 06:00:49
sangat amat membantu,5,2025-10-17 23:53:15
sangat membantu,5,2025-10-17 16:40:39
"kenapa gak dari kemarin ya pas sakit awal, kenapa udah beli obat periksa ternyata ada aplikasi ini sangat membantu. terimakasih",5,2025-10-17 14:36:52
apa yang kurang? tidak bisa autologin menggunakan Gmail,2,2025-10-17 12:59:53
cool,5,2025-10-17 12:11:59
"Jujur bagus pelayanannya, TPI saya mau tanya-tanya lebih lagi dokternya seperti engga menjawab . tetapi ya sudah.",4,2025-10-17 10:09:55
dojternya ramah dan obat yg dikasih itu manjur banget,5,2025-10-17 09:30:56
bagus,5,2025-10-17 09:30:13
"gk jelas dokter nya,lama lama x bls nya",1,2025-10-16 14:42:44
tambahkan isi saldo lewat tf bank,3,2025-10-16 13:53:54
"metoda pembayarannya mesti di beri banyak pilihan jgn cuman dana,shoppee dll harusnya bisa via transfer lebih gampang",1,2025-10-16 10:55:03
sangat membantu dan memudahkan,5,2025-10-16 09:50:17
dokternya tanggap,5,2025-10-16 09:45:35
"pelayanan nya bagus, terutama layanan chat dokter . pertahankan",5,2025-10-16 08:52:01
"sangat membantu untuk anak kost yang hidup diperantauan. jadi kalau mau komsultasi mudah dan cepat. dokternya juga gercep kalau bales chat, suka sekali dengan halodoc",5,2025-10-16 00:34:38
Memuakan sekali,5,2025-10-15 23:12:15
good,5,2025-10-15 17:09:45
"mending fitur konsultasi gratis setelah beli paket acne itu dihapus deh, ga guna!! dokter slow respon smpe 3 hari ini blm ditanggapi oleh dokter padahal itu klaim gratis konsultasi karena beli paket acne dari halodoc ini. konsul juga di jam buka tapi sampe hari ini bhkn ga ditanggapi dokter bagaimana progres perawatan wajah saya, kalo emg ga bisa gratis dan lelet apus aja kebijakan ini. GA WORTH IT",2,2025-10-15 15:25:34
pelayanan sangat memuaskan,5,2025-10-15 14:29:04
bagus ramah sekali dokternya,5,2025-10-15 11:48:08
"puas banget karena sangat membantu buat yang mau konsultasi dokter tapi ga bisa dateng ke klinik, apalagi klo keluhan yg ga memerlukan pemeriksaan fisik, dokternya pun kita bisa pilih berdasarkan jam terbang dan penilaian dari pasien yg udah konsul. Dokternya baik & ramah jawabannyapun memuaskan dan memberikan solusi, bisa minta resep juga, recommended ⭐⭐⭐⭐⭐",5,2025-10-15 07:43:43
konsultasi sangat mudah,5,2025-10-15 03:38:17
cepat pelayanannya walau keluhan yg sudah kita sampaikan masih ditnya ulang oleh dokter,5,2025-10-15 03:37:48
sangat cepat responnya,5,2025-10-15 03:31:31
pelayanan dengan Dokternya memuaskan dengan penjelasan yg sangat detail & akurat. terima kasih Halodoc.,5,2025-10-15 02:38:31
mudah dan cepat,5,2025-10-15 01:51:05
informatif efisien,5,2025-10-15 01:46:52
"Maksimal paket sampai tidak sesuai dengan yang di tetap kan,jasa pengiriman antareja lelet pesan tanggal 6 sampai tgl 15 belum nyampai juga.",1,2025-10-14 23:46:50
Memudahkan sekali dan terbantukan dengan dokter2nya ...terimakasih hallodoc,5,2025-10-14 23:44:20
sangat puas sekali,5,2025-10-14 20:45:48
halodoc mantap,5,2025-10-14 15:07:32
pelayanan cepat,5,2025-10-14 14:45:45
Sangat membantu,5,2025-10-14 14:12:32
"kenapa ya dokternya pada mata duitan, pas pake kupon bales chat nya seabad(lama banget) pas ga pake kupon kaya maling ayam (cepet banget) + cuman di kasi waktu 30 menit? 15 menit nunggu bales chat 15 nya lagi konsul, apaansihhh tolong di kasi pelajaran itu dokternya aplikasinya bagus, masa dokternya gini sihh, oohhh iya tambahin fitur reaport/laporkan dong biar tau rasa itu dokter mata duitan",1,2025-10-14 13:08:57
Dokternya ramah dan cepat respon.,5,2025-10-14 11:38:00
sangat membantu dg cara virtual,5,2025-10-14 11:06:15
"Responship dokter nya,baik dan ditail dalam bertanya..🥰",5,2025-10-14 08:22:49
"dokternya sangat detail menjelaskannya,👍🏻",5,2025-10-14 05:43:18
alhamdulillah.. makasih halodoc,5,2025-10-14 03:44:45
sangat membantu,5,2025-10-14 00:10:59
sangat menolong🤍,5,2025-10-13 14:02:36
memudahkan dalam kondisi sakit dan tidak bisa kemana-mana apalagi kalau jadwal dokter terdekat masih lama,5,2025-10-13 07:48:56
sangat membantu,5,2025-10-13 06:49:40
"Bagus pelayanannya, dan aplikasinya juga mudah digunakan.",5,2025-10-13 06:15:06
pelayanan bagus dan ramah,5,2025-10-13 06:02:21
sangat memudahkan,5,2025-10-13 05:34:25
sangat mambantu dan melayani dengan sangat baik,5,2025-10-13 05:11:52
topq,5,2025-10-13 04:13:50
"Konsul dokter THT Alhamdulillah dr. Nya ramah banget Maaf ya dok saya slow respon karna sambil jualan,,berkah dan sehat selalu buat Dr. Yunaldi altila",5,2025-10-13 02:31:25
