content,score,at,sentiment
wow aplikasi yang sangat hebat membantu kita untuk hidup lebih sehat,5,2025-10-30 19:11:18,positif
tlong lah kita order obt maunya cepat kasih pilihan driver yg cepat bukan yg lama ..masa hampir 2jam sama2 mahal kok ngsih waktu pengiramn instant lama,1,2025-10-30 14:51:21,negatif
suka sih konsul di halodoc. dokternya juga ramah ramah. sehat selalu semuanya,5,2025-10-30 13:31:12,positif
Dokter nya sangat komunikatif,5,2025-10-30 13:27:28,positif
dokternya ramah banget...semoga cocok ya,5,2025-10-30 11:20:25,positif
sangat membantu,5,2025-10-30 09:01:42,positif
Aplikasi yang sangat membantu seputar konsultasi kesehatan mulai dokter umum sampai dokter spesialis lengkap,5,2025-10-30 06:15:59,positif
respon cepat dan tepat,5,2025-10-30 00:43:24,positif
"Easy to Use, Useful dan Thank You...",5,2025-10-29 22:51:58,positif
"pelayanan buruk, next time buatkan fitur pembatalan dan kasih range waktu sampai. karna kalian punya jasa penting buat keselamatan org. malah di entengin banget.. kecewa!!!. kalian jangan pada download daripada pelayanannya ga okeh!. saya user baru memang, tapi harusnya pelayanan kaya gini udah ga perlu embel2 nunggu2 atau apapun lah. ingat kalian terpacu dengan waktu loh, pasien butuh obat malah di buat molor. RATING BINTANG 1 DARI SAYA.",1,2025-10-29 12:55:36,negatif
bagus,5,2025-10-29 12:04:14,positif
sangat bagus,5,2025-10-29 11:00:52,positif
sangat membantu untuk konsultasi dokter setiap saat,5,2025-10-29 09:25:16,positif
"Aplikasi yang sangat membantu, Terimakasih halodoc",5,2025-10-29 07:07:16,positif
"obat yang diinginkan tersedia, jadi gak perlu repot2 ke apotek",4,2025-10-29 05:58:30,positif
fleksibel dan memudahkan untuk berkonsultasi dengan dokter dari mana saja dan kapanpun,5,2025-10-29 05:55:14,positif
cukup bagus lumayan membantu.,5,2025-10-29 04:39:32,positif
ada masalah dengan pesanan obat tapi layanan chat buat komplain tidak tersedia terus. mau cek lokasi apotek yg kirim obat juga gabisa. gimana ini? ga transparan banget,1,2025-10-29 02:15:35,negatif
aplikasi musah digunakan banyak promo dan dokternya ramah2,5,2025-10-29 00:50:36,positif
bagus,5,2025-10-29 00:02:53,positif
Dokternya menjelaskan dengan baik,5,2025-10-28 14:19:57,positif
mantap,5,2025-10-28 13:43:04,positif
sangat membantu,5,2025-10-28 10:00:23,positif
pelayanan prima,5,2025-10-28 08:25:45,positif
sangat membantu untuk bisa berkomunikasi langsung dengan dokter yg Kita butuhkan.. tarifnya pun tidak terlalu mahal,5,2025-10-28 08:22:58,positif
baik keren sangat membantu aplikasinya,5,2025-10-28 06:57:08,positif
ok,5,2025-10-28 06:25:22,positif
membantu sekali untuk para pekerja,5,2025-10-28 02:05:19,positif
"Untuk sejauh ini, saya pribadi tidak memiliki kendala, dokter-dokter yang terdaftar juga ramah, dengan adanya e-health seperti ini mempermudah untuk mendapatkan pertolongan.",5,2025-10-27 23:13:27,positif
"sukaa bangettt, respon jugaa cepett, jelass buatt yang gabisa cek langsung diklinik bisa sementara konsul disini bagus bgt kokk, responnya jugaa baikk, Semoga buat para acnefighter lekas sembuh Aamiin Yarobal Alamiin",5,2025-10-27 12:41:11,positif
serius tanya doang bayar? mending gua tanya AI gratis,5,2025-10-27 10:33:37,positif
"gak ramah dokter spkknya,gak dengerin apa yang saya keluhin terkait masalah kulit,saya minta resep tretinoin buat bekas jerawat,malah ngiranya saya jerawatan udah tau di foto gak ada jerawat dan hanya bekas jerawatnya saja,dokternya Dr.nyoman indra karunia",1,2025-10-27 09:43:50,negatif
"kurang puas ,pelayanan dokter nya jelek tidak reponsif sangat lama membalas keburu habis waktu ,buang² uang",1,2025-10-27 07:30:35,negatif
dokternya ramah,5,2025-10-27 04:55:40,positif
"dokterx enak diajak konsul,semoga sy cocok",5,2025-10-27 04:50:35,positif
Sangat berguna,5,2025-10-27 04:16:59,positif
ada beberapa dokter yg sibuk untuk melakukan sesi konsultasi,4,2025-10-27 02:30:48,positif
"Dokter ramah, sangat membantu, fast respon. Terima kasih halodoc.",5,2025-10-27 01:50:23,positif
memuaskan,5,2025-10-26 16:30:09,positif
"sangatt puasss, dokternya baim2",5,2025-10-26 14:46:02,positif
"sering problemnya drpd membantu, Heidy selalu close chat sepihak kalau lg complain, bubar aja mending, atau ganti nama.. Haloblog, layanan ngawur parah",1,2025-10-26 14:40:09,negatif
ok,5,2025-10-26 13:28:52,positif
layanan sangat baik respon cepat,5,2025-10-26 12:52:06,positif
sangat membantuuu dokternya ramah sekalii dr iraaa armayanti lope,5,2025-10-26 12:10:18,positif
terus berkarya demi umat manusia sehat.,5,2025-10-26 11:30:35,positif
Detil dan cepat,5,2025-10-26 09:44:51,positif
sangat membantu 👍,5,2025-10-26 03:23:51,positif
sangat membantu,5,2025-10-26 01:52:21,positif
cukup baik,5,2025-10-26 01:49:31,positif
Alhamdulillah obatnya tiba dengan cepat. di daerah rumah saya susah sekali mencari obatnya di hallodoc semua bisa ditangani. terimakasih hallodoc❣️ sangat membantu dan memudahkan. karna obat untuk suami saya harus setiap jam dipake .pas abis saya bingung karna saya pke BPJS drs ga setiap berobat dksh obatnya.jadi harus beli diluar . saya cari di setiap apotik smpe K-24 jg ga ada. tp di hallodoc semua teratasi❣️❣️❣️,5,2025-10-26 01:26:15,positif
sangat membantu,5,2025-10-26 01:14:41,positif
"Cepat, tepat dan solusi yang memuaskan.",5,2025-10-25 14:55:14,positif
dokter ramah dan penjelasanya sangat jelas. sangat membantu sekali untuk penanganan awal,5,2025-10-25 12:31:43,positif
buruk.. pesanan gak diterima cuma bisa baik.. saya beli obat karena anak saya butuh malam2 demam .. disuruh nunggu 3 hari gk juga ada kejelasan kecewa saya halodoc padahal sering make ini kalau salah kirim proses lama obat gk sampe2 solusi gk ddpt,1,2025-10-25 12:18:12,negatif
Sangat membantu,5,2025-10-25 11:18:39,positif
sangat membantu,5,2025-10-25 10:44:31,positif
Sangat membantu konsultasi kesehatan dan membeli obat langsung tanpa harus keluar rumah,5,2025-10-25 05:54:33,positif
"biasanya dpt dokter baik pejelasannya enak,tadi dpt dokter ortopendi masuk ruang chat ilang 15 mnt sekali ada slow respon dah kecewa semoga dokternya di perbaiki pelayanan nya.",1,2025-10-25 05:28:09,negatif
cukup membantu,5,2025-10-25 03:27:10,positif
"Respon lambat, sudahh saya jelaskan diawal secara detail tetap aja ditanya terussss. Sampai2 waktu konsultasi habisss sia2",1,2025-10-25 00:41:08,negatif
sangat membantu,5,2025-10-25 00:05:19,positif
sangat membantu,5,2025-10-24 14:28:09,positif
baik,5,2025-10-24 13:47:10,positif
good,4,2025-10-24 12:16:22,positif
cukup membantu saat urgent,5,2025-10-24 10:18:55,positif
Good,5,2025-10-24 09:03:44,positif
aplikasi sangat membantu,5,2025-10-24 05:52:06,positif
Sangat membantu sekali dan terima kasih kepada dokter yg lg bertugas. tetap semangat. Trims,5,2025-10-24 02:12:19,positif
sangat bermanfaat,5,2025-10-24 02:02:56,positif
sangat membantu di saat butuh obat dengan cepat terimakasih.,5,2025-10-24 01:20:23,positif
terimakasih,5,2025-10-24 01:12:19,positif
